,profits,assets,country,marketvalue
1,17.85,1264.03,United States,255.3
2,15.59,626.93,United States,328.54
3,6.46,647.66,United States,194.87
4,20.96,166.99,United States,277.02
5,10.27,177.57,United Kingdom,173.54
6,10.81,736.45,United States,117.55
7,6.66,757.6,United Kingdom,177.96
8,7.99,171.71,Japan,115.4
9,6.48,1019.17,United States,76.84
10,9.05,104.91,United States,243.74
11,5.15,853.23,Switzerland,85.07
12,4.73,752.49,Netherlands,54.59
13,8.4,100.72,Netherlands,163.45
14,6.95,172.24,United States,141.14
15,4.47,792.7,United States,81.94
16,7.58,104.46,United States,171.54
17,8.84,87.84,France,116.64
18,4.73,745.09,France,59.29
19,4.95,663.45,United Kingdom,90.21
20,10.09,752.25,United States,44.25
